scenario,size,algorithm,time_ms,comparisons,swaps
RANDOM,100,Insertion,0.12,2715,0
RANDOM,100,Merge,0.06,542,0
RANDOM,100,Quick,0.05,644,305
RANDOM,1000,Insertion,1.73,248998,0
RANDOM,1000,Merge,0.17,8715,0
RANDOM,1000,Quick,0.18,10977,5488
RANDOM,10000,Insertion,13.31,24953000,0
RANDOM,10000,Merge,3.37,120399,0
RANDOM,10000,Quick,0.56,155273,79738
RANDOM,100000,Insertion,1193.29,2498871405,0
RANDOM,100000,Merge,8.77,1536443,0
RANDOM,100000,Quick,6.51,2032778,1043522
SORTED,100,Insertion,0.00,99,0
SORTED,100,Merge,0.00,356,0
SORTED,100,Quick,0.00,618,104
SORTED,1000,Insertion,0.00,999,0
SORTED,1000,Merge,0.02,5044,0
SORTED,1000,Quick,0.02,10837,1003
SORTED,10000,Insertion,0.01,9999,0
SORTED,10000,Merge,0.27,69008,0
SORTED,10000,Quick,0.26,156368,10011
SORTED,100000,Insertion,0.18,99999,0
SORTED,100000,Merge,3.56,853904,0
SORTED,100000,Quick,2.51,2072653,99802
REVERSE,100,Insertion,0.00,4950,0
REVERSE,100,Merge,0.00,316,0
REVERSE,100,Quick,0.00,647,274
REVERSE,1000,Insertion,0.24,499500,0
REVERSE,1000,Merge,0.02,4932,0
REVERSE,1000,Quick,0.03,10645,4753
REVERSE,10000,Insertion,23.79,49995000,0
REVERSE,10000,Merge,0.28,64608,0
REVERSE,10000,Quick,0.30,159692,61145
REVERSE,100000,Insertion,2435.33,4999950000,0
REVERSE,100000,Merge,3.43,815024,0
REVERSE,100000,Quick,3.17,2069777,828066
NEARLY_SORTED,100,Insertion,0.00,561,0
NEARLY_SORTED,100,Merge,0.00,491,0
NEARLY_SORTED,100,Quick,0.00,637,214
NEARLY_SORTED,1000,Insertion,0.03,59719,0
NEARLY_SORTED,1000,Merge,0.03,8040,0
NEARLY_SORTED,1000,Quick,0.04,11337,4778
NEARLY_SORTED,10000,Insertion,2.93,5893895,0
NEARLY_SORTED,10000,Merge,0.39,115122,0
NEARLY_SORTED,10000,Quick,0.37,151163,65596
NEARLY_SORTED,100000,Insertion,283.51,577700368,0
NEARLY_SORTED,100000,Merge,4.77,1485081,0
NEARLY_SORTED,100000,Quick,4.19,2007427,893883
DUPLICATES,100,Insertion,0.00,2320,0
DUPLICATES,100,Merge,0.00,535,0
DUPLICATES,100,Quick,0.00,905,211
DUPLICATES,1000,Insertion,0.13,227860,0
DUPLICATES,1000,Merge,0.05,8483,0
DUPLICATES,1000,Quick,0.06,54236,2768
DUPLICATES,10000,Insertion,10.88,22469959,0
DUPLICATES,10000,Merge,0.47,116820,0
DUPLICATES,10000,Quick,2.80,5043501,29504
DUPLICATES,100000,Insertion,1075.77,2246594018,0
DUPLICATES,100000,Merge,5.28,1483668,0
DUPLICATES,100000,Quick,253.53,500333184,251834
